short_name,age,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,player_tags,team_position,team_jersey_number,loaned_from,joined,contract_valid_until,nation_position,nation_jersey_number,pace,shooting,passing,dribbling,defending,physic,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb
M. Reus,31,180,71,Germany,Borussia Dortmund,German 1. Bundesliga,85,85,34000000,94000,"CAM, CF",Right,4,4,4,High/Medium,PLAYER_BODY_TYPE_279,Yes,57800000.0,"FKSpecialist,ClinicalFinisher",RCM,11.0,,2012-07-01,2023.0,,,80.0,86.0,84.0,85.0,45.0,63.0,"Injury Prone, Leadership, Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Playmaker (AI), Outside Foot Shot",85,86,44,85,89,85,88,86,76,87,82,78,83,85,82,87,70,67,66,83,51,48,86,84,91,85,,37,45,12,12,13,13,11,80+3,80+3,80+3,85+0,84+0,84+0,84+0,85+0,84+1,84+1,84+1,83+2,79+3,79+3,79+3,83+2,68+3,65+3,65+3,65+3,68+3,63+3,54+3,54+3,54+3,63+3
Thiago,29,174,70,Spain,Liverpool,English Premier League,85,85,37000000,150000,"CM, CDM",Right,3,3,5,Medium/Medium,Normal,Yes,68500000.0,"Dribbler,Acrobat",SUB,6.0,,2020-09-18,2024.0,RCM,10.0,64.0,72.0,85.0,90.0,70.0,62.0,"Injury Prone, Dives Into Tackles (AI), Flair, Outside Foot Shot, Technical Dribbler (AI)",78,68,54,89,84,90,85,77,89,91,74,55,91,85,90,75,75,73,59,73,54,83,75,85,75,86,,71,68,6,11,7,9,13,74+3,74+3,74+3,81+0,80+0,80+0,80+0,81+0,84+1,84+1,84+1,81+3,84+1,84+1,84+1,81+3,77+3,79+3,79+3,79+3,77+3,75+3,70+3,70+3,70+3,75+3
Parejo,31,182,74,Spain,Villarreal CF,Spain Primera Division,85,85,33000000,59000,CM,Right,2,4,3,Medium/Medium,Lean,Yes,69300000.0,"Playmaker,Crosser,FKSpecialist,CompleteMidfielder",RCM,5.0,,2020-08-12,2024.0,,,50.0,83.0,90.0,81.0,71.0,69.0,"Long Passer (AI), Playmaker (AI), Team Player",86,83,61,92,72,82,88,93,90,86,52,49,63,80,72,81,49,78,70,88,58,81,82,89,88,85,,70,69,5,9,12,14,8,77+2,77+2,77+2,80+0,81+0,81+0,81+0,80+0,83+2,83+2,83+2,81+2,85+0,85+0,85+0,81+2,77+2,80+2,80+2,80+2,77+2,74+2,71+2,71+2,71+2,74+2
C. Eriksen,28,181,76,Denmark,Inter,Italian Serie A,85,85,39000000,155000,"CAM, CM, RM",Right,3,5,4,High/High,PLAYER_BODY_TYPE_299,Yes,64400000.0,"Playmaker,Engine,Crosser,CompleteMidfielder",CAM,24.0,,2020-01-28,2024.0,CAM,10.0,72.0,81.0,88.0,81.0,53.0,63.0,"Flair, Long Shot Taker (AI), Playmaker (AI)",86,77,52,90,80,77,89,85,87,90,74,70,77,84,80,84,49,92,56,89,46,56,82,90,67,86,,57,22,9,14,7,7,6,77+3,77+3,77+3,82+0,82+0,82+0,82+0,82+0,84+1,84+1,84+1,83+2,84+1,84+1,84+1,83+2,71+3,71+3,71+3,71+3,71+3,66+3,57+3,57+3,57+3,66+3
Alex Sandro,29,180,80,Brazil,Juventus,Italian Serie A,85,85,31500000,120000,"LB, LM",Left,3,3,3,High/Medium,PLAYER_BODY_TYPE_341,Yes,52000000.0,NoTag,SUB,12.0,,2015-08-21,2023.0,,,81.0,65.0,77.0,80.0,81.0,81.0,Speed Dribbler (AI),84,55,76,81,68,80,78,59,71,81,78,83,78,84,77,80,79,90,77,72,82,82,70,70,60,80,,81,82,7,7,9,12,5,74+3,74+3,74+3,77+0,75+0,75+0,75+0,77+0,76+3,76+3,76+3,78+3,77+3,77+3,77+3,78+3,83+2,80+3,80+3,80+3,83+2,82+3,80+3,80+3,80+3,82+3
Koke,28,176,77,Spain,Atlético Madrid,Spain Primera Division,85,85,38000000,92000,"CM, RM, LM",Right,3,4,3,High/High,Normal,Yes,77900000.0,Engine,RCM,6.0,,2011-01-01,2024.0,,,67.0,75.0,85.0,81.0,76.0,80.0,"Leadership, Playmaker (AI), Team Player",85,72,61,87,56,80,85,76,85,84,68,66,73,88,80,83,63,94,75,80,79,80,82,85,59,84,,80,70,14,12,5,10,13,77+3,77+3,77+3,80+0,80+0,80+0,80+0,80+0,82+3,82+3,82+3,82+3,84+1,84+1,84+1,82+3,81+3,82+3,82+3,82+3,81+3,79+3,76+3,76+3,76+3,79+3
R. Mahrez,29,179,67,Algeria,Manchester City,English Premier League,85,85,37500000,210000,"RW, RM",Left,3,4,5,Medium/Medium,PLAYER_BODY_TYPE_324,Yes,69400000.0,"Dribbler,Acrobat",RW,26.0,,2018-07-10,2023.0,,,83.0,79.0,81.0,90.0,38.0,59.0,"Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI)",83,79,48,80,76,90,84,78,75,91,87,79,92,81,88,79,60,76,55,80,48,39,80,84,70,84,,31,22,15,9,13,11,6,77+3,77+3,77+3,84+0,83+0,83+0,83+0,84+0,84+1,84+1,84+1,84+1,77+3,77+3,77+3,84+1,64+3,60+3,60+3,60+3,64+3,59+3,48+3,48+3,48+3,59+3
Arthur,23,171,73,Brazil,Juventus,Italian Serie A,84,89,41000000,98000,CM,Right,2,3,4,Medium/Medium,Normal,No,70700000.0,"Dribbler,Playmaker,CompleteMidfielder",SUB,5.0,,2020-09-01,2024.0,,,66.0,73.0,82.0,87.0,75.0,71.0,"Playmaker (AI), Technical Dribbler (AI)",73,70,58,88,63,87,76,60,84,89,68,65,79,85,90,78,68,76,68,76,75,77,75,86,69,90,,79,70,6,13,13,11,12,75+2,75+2,75+2,80+0,80+0,80+0,80+0,80+0,83+2,83+2,83+2,80+2,84+2,84+2,84+2,80+2,78+2,81+2,81+2,81+2,78+2,76+2,74+2,74+2,74+2,76+2
L. Goretzka,25,189,76,Germany,FC Bayern München,German 1. Bundesliga,84,88,39500000,105000,"CM, CDM",Right,3,4,3,High/Medium,PLAYER_BODY_TYPE_275,Yes,68100000.0,NoTag,LDM,18.0,,2018-07-01,2022.0,SUB,18.0,78.0,78.0,80.0,82.0,77.0,85.0,"Dives Into Tackles (AI), Long Shot Taker (AI)",75,79,82,84,69,82,76,75,79,85,81,76,76,87,70,79,78,83,88,82,81,79,83,82,60,82,,79,75,13,8,15,11,9,82+3,82+3,82+3,82+0,82+0,82+0,82+0,82+0,82+3,82+3,82+3,82+3,83+3,83+3,83+3,82+3,80+3,81+3,81+3,81+3,80+3,79+3,80+3,80+3,80+3,79+3
A. Martial,24,184,76,France,Manchester United,English Premier League,84,88,41000000,155000,ST,Right,3,3,4,Medium/Medium,PLAYER_BODY_TYPE_328,Yes,81000000.0,Dribbler,ST,9.0,,2015-09-01,2024.0,LM,11.0,89.0,83.0,74.0,87.0,41.0,72.0,"Finesse Shot, Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",72,85,71,80,75,89,84,54,63,87,88,90,83,82,79,83,70,77,76,79,54,42,84,77,81,82,,39,36,9,8,8,15,11,83+3,83+3,83+3,84+0,84+0,84+0,84+0,84+0,83+3,83+3,83+3,82+3,75+3,75+3,75+3,82+3,65+3,61+3,61+3,61+3,65+3,62+3,54+3,54+3,54+3,62+3
J. Brandt,24,185,83,Germany,Borussia Dortmund,German 1. Bundesliga,84,88,40500000,75000,"CAM, CM",Right,3,4,4,High/Medium,Normal,Yes,71900000.0,Dribbler,SUB,19.0,,2019-07-01,2024.0,SUB,10.0,81.0,78.0,82.0,87.0,51.0,66.0,"Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",81,77,54,84,79,88,77,65,85,86,77,85,84,83,83,81,64,80,71,80,38,47,80,85,54,84,,55,57,11,16,11,8,9,78+3,78+3,78+3,83+0,82+0,82+0,82+0,83+0,84+3,84+3,84+3,83+3,81+3,81+3,81+3,83+3,71+3,68+3,68+3,68+3,71+3,68+3,58+3,58+3,58+3,68+3
K. Coman,24,179,75,France,FC Bayern München,German 1. Bundesliga,84,88,40500000,94000,"LM, RM, LW",Right,3,3,4,Medium/Low,PLAYER_BODY_TYPE_274,Yes,69900000.0,"Speedster,Dribbler,Acrobat",SUB,29.0,,2015-08-30,2023.0,,,93.0,76.0,77.0,87.0,29.0,59.0,"Injury Prone, Speed Dribbler (AI)",77,76,52,78,77,88,81,70,73,87,94,93,88,84,84,80,73,66,64,73,36,23,83,79,70,76,,27,21,5,3,5,3,5,78+3,78+3,78+3,84+0,83+0,83+0,83+0,84+0,82+3,82+3,82+3,83+3,74+3,74+3,74+3,83+3,59+3,54+3,54+3,54+3,59+3,55+3,43+3,43+3,43+3,55+3
W. Ndidi,23,183,74,Nigeria,Leicester City,English Premier League,84,88,36500000,96000,"CDM, CM",Right,1,4,3,Medium/High,Lean,Yes,72100000.0,"Tackling,Tactician",CDM,25.0,,2017-01-05,2024.0,,,71.0,62.0,68.0,74.0,87.0,84.0,Long Shot Taker (AI),50,50,76,79,66,72,58,58,75,78,70,72,69,87,67,80,90,92,78,72,87,90,67,67,55,80,,89,85,13,14,7,7,13,71+2,71+2,71+2,69+0,72+0,72+0,72+0,69+0,72+2,72+2,72+2,71+2,77+2,77+2,77+2,71+2,80+2,83+2,83+2,83+2,80+2,81+2,85+2,85+2,85+2,81+2
Saúl,25,184,76,Spain,Atlético Madrid,Spain Primera Division,84,87,38500000,77000,"CM, LM, LB",Left,3,4,3,High/High,Lean,Yes,81800000.0,Engine,LM,8.0,,2013-07-01,2026.0,SUB,8.0,68.0,79.0,79.0,81.0,78.0,79.0,"Finesse Shot, Long Shot Taker (AI)",69,78,83,85,76,81,73,60,83,85,67,69,73,84,69,82,80,87,77,81,76,79,82,83,68,83,,78,77,7,13,12,10,9,80+3,80+3,80+3,79+0,81+0,81+0,81+0,79+0,82+3,82+3,82+3,80+3,83+3,83+3,83+3,80+3,79+3,81+3,81+3,81+3,79+3,78+3,79+3,79+3,79+3,78+3
R. Guerreiro,26,170,71,Portugal,Borussia Dortmund,German 1. Bundesliga,84,85,36500000,86000,"LM, LB, CM",Left,3,2,4,Medium/Medium,Normal,Yes,64800000.0,"Dribbler,Acrobat",LM,13.0,,2016-07-01,2023.0,LB,5.0,74.0,78.0,84.0,87.0,73.0,57.0,"Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI)",82,80,37,87,79,87,85,82,78,88,82,67,87,84,90,79,53,77,49,80,52,81,79,84,44,86,,76,78,12,6,8,11,8,75+3,75+3,75+3,83+0,82+0,82+0,82+0,83+0,84+1,84+1,84+1,83+2,83+2,83+2,83+2,83+2,80+3,78+3,78+3,78+3,80+3,78+3,69+3,69+3,69+3,78+3
T. Partey,27,185,77,Ghana,Atlético Madrid,Spain Primera Division,84,85,35000000,81000,CM,Right,2,3,3,Medium/High,Normal,Yes,74400000.0,NoTag,LCM,5.0,,2015-07-01,2023.0,,,71.0,74.0,81.0,81.0,82.0,85.0,Long Shot Taker (AI),74,68,68,86,56,84,69,70,84,83,68,74,75,85,50,86,83,92,82,85,84,84,73,84,49,86,,85,81,11,13,9,9,7,77+2,77+2,77+2,79+0,79+0,79+0,79+0,79+0,81+2,81+2,81+2,80+2,84+1,84+1,84+1,80+2,82+2,84+1,84+1,84+1,82+2,81+2,82+2,82+2,82+2,81+2
M. Brozović,27,181,68,Croatia,Inter,Italian Serie A,84,85,32000000,125000,"CDM, CM",Right,2,4,3,Medium/High,Lean,Yes,55200000.0,NoTag,LCM,77.0,,2016-07-01,2022.0,,,63.0,74.0,80.0,81.0,79.0,78.0,"Dives Into Tackles (AI), Finesse Shot, Long Passer (AI), Long Shot Taker (AI)",72,69,70,83,65,81,79,74,84,85,62,63,72,75,76,80,67,94,69,84,84,81,70,80,69,82,,81,79,8,8,15,11,8,74+2,74+2,74+2,76+0,76+0,76+0,76+0,76+0,78+2,78+2,78+2,77+2,82+2,82+2,82+2,77+2,79+2,82+2,82+2,82+2,79+2,78+2,77+2,77+2,77+2,78+2
Fernandinho,35,179,67,Brazil,Manchester City,English Premier League,84,84,9500000,110000,"CB, CDM",Right,3,4,3,Medium/High,Lean,Yes,17600000.0,Tactician,RCB,25.0,,2013-07-01,2021.0,,,64.0,72.0,78.0,78.0,85.0,79.0,,68,66,71,86,73,76,70,72,81,82,67,62,69,88,77,83,84,78,76,78,87,89,70,73,61,81,,86,83,12,11,5,13,7,75+3,75+3,75+3,75+0,76+0,76+0,76+0,75+0,77+3,77+3,77+3,76+3,81+3,81+3,81+3,76+3,80+3,84+0,84+0,84+0,80+3,80+3,83+1,83+1,83+1,80+3
Jesús Navas,34,172,60,Spain,Sevilla FC,Spain Primera Division,84,84,11000000,43000,"RB, RM",Right,2,2,4,High/Medium,Lean,Yes,23100000.0,NoTag,RB,16.0,,2017-07-28,2021.0,RB,22.0,87.0,69.0,79.0,83.0,80.0,58.0,"Early Crosser, Speed Dribbler (AI)",83,66,75,81,75,84,82,46,75,83,90,84,81,84,84,75,63,81,39,70,75,83,81,80,56,81,,78,80,10,10,15,7,13,76+2,76+2,76+2,81+0,80+0,80+0,80+0,81+0,80+2,80+2,80+2,82+2,80+2,80+2,80+2,82+2,82+2,79+2,79+2,79+2,82+2,82+2,75+2,75+2,75+2,82+2
Lucas Leiva,33,179,78,Brazil,Lazio,Italian Serie A,84,84,15000000,83000,CDM,Right,3,3,3,Medium/High,Normal,Yes,25500000.0,Tactician,CDM,6.0,,2017-07-18,2022.0,,,60.0,66.0,76.0,78.0,83.0,71.0,Dives Into Tackles (AI),63,62,72,82,59,77,74,47,81,79,62,58,77,82,80,77,81,80,61,66,83,87,66,81,61,86,,84,81,10,8,8,5,6,70+3,70+3,70+3,72+0,73+0,73+0,73+0,72+0,75+3,75+3,75+3,73+3,79+3,79+3,79+3,73+3,77+3,82+2,82+2,82+2,77+3,78+3,79+3,79+3,79+3,78+3
A. Witsel,31,186,81,Belgium,Borussia Dortmund,German 1. Bundesliga,84,84,23500000,79000,"CDM, CM",Right,3,4,4,Medium/Medium,PLAYER_BODY_TYPE_278,Yes,40000000.0,NoTag,CDM,28.0,,2018-08-17,2022.0,LCM,6.0,63.0,73.0,81.0,79.0,82.0,82.0,"Solid Player, Leadership",69,71,84,90,77,79,71,68,85,83,62,64,74,82,70,76,78,83,84,71,77,83,75,81,76,92,,80,81,5,7,7,10,7,77+3,77+3,77+3,76+0,78+0,78+0,78+0,76+0,79+3,79+3,79+3,78+3,82+2,82+2,82+2,78+3,79+3,83+1,83+1,83+1,79+3,79+3,82+2,82+2,82+2,79+3
Douglas Costa,29,172,70,Brazil,Juventus,Italian Serie A,84,84,30500000,120000,"LM, RW, LW",Left,3,3,5,High/Medium,PLAYER_BODY_TYPE_339,Yes,50300000.0,"Speedster,Dribbler,Acrobat",SUB,11.0,,2018-07-01,2022.0,,,93.0,73.0,79.0,91.0,43.0,59.0,"Injury Prone, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",82,64,50,83,76,92,84,78,65,91,94,93,92,80,91,86,60,68,56,80,55,48,74,80,77,80,,38,34,13,15,9,12,5,76+3,76+3,76+3,84+0,82+0,82+0,82+0,84+0,83+1,83+1,83+1,83+1,76+3,76+3,76+3,83+1,67+3,62+3,62+3,62+3,67+3,63+3,52+3,52+3,52+3,63+3
I. Gueye,30,174,66,Senegal,Paris Saint-Germain,French Ligue 1,84,84,25500000,105000,"CDM, CM",Right,2,3,3,Medium/High,Lean,Yes,47200000.0,Tactician,RCM,27.0,,2019-07-30,2023.0,,,69.0,61.0,71.0,78.0,85.0,79.0,,60,53,69,81,32,76,49,61,77,79,70,69,81,83,81,80,89,91,69,66,86,89,69,68,54,83,,90,83,8,6,8,12,13,70+2,70+2,70+2,71+0,72+0,72+0,72+0,71+0,74+2,74+2,74+2,73+2,78+2,78+2,78+2,73+2,80+2,83+1,83+1,83+1,80+2,81+2,82+2,82+2,82+2,81+2
D. Alaba,28,180,78,Austria,FC Bayern München,German 1. Bundesliga,84,84,27500000,105000,"CB, LB",Left,4,4,3,Medium/Medium,Normal,Yes,45400000.0,NoTag,LCB,27.0,,2010-02-10,2021.0,LM,8.0,77.0,70.0,81.0,79.0,83.0,76.0,Long Shot Taker (AI),80,60,76,85,67,77,77,85,79,83,78,77,76,88,77,82,83,75,76,78,74,84,73,78,79,84,,83,82,5,7,14,15,9,76+3,76+3,76+3,78+0,78+0,78+0,78+0,78+0,79+3,79+3,79+3,79+3,80+3,80+3,80+3,79+3,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2,82+2
Isco,28,176,79,Spain,Real Madrid,Spain Primera Division,84,84,31500000,210000,"CAM, CM, LW",Right,3,3,4,Medium/Low,Normal,Yes,64600000.0,Dribbler,SUB,22.0,,2013-07-03,2022.0,,,68.0,75.0,82.0,90.0,59.0,59.0,"Finesse Shot, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",78,76,55,84,67,92,88,76,81,91,71,65,83,74,90,69,61,61,59,81,58,61,76,83,76,85,,64,51,10,8,12,15,6,74+3,74+3,74+3,81+0,80+0,80+0,80+0,81+0,83+1,83+1,83+1,80+3,80+3,80+3,80+3,80+3,70+3,70+3,70+3,70+3,70+3,67+3,62+3,62+3,62+3,67+3
F. Valverde,21,182,78,Uruguay,Real Madrid,Spain Primera Division,83,90,36000000,135000,CM,Right,1,3,3,High/High,Lean,Yes,81000000.0,Engine,SUB,15.0,,2016-07-22,2025.0,,,86.0,74.0,78.0,79.0,77.0,80.0,,66,70,59,85,70,79,70,66,84,82,82,89,76,84,69,80,59,86,79,81,81,81,76,80,59,82,,80,76,6,10,6,15,8,77+2,77+2,77+2,79+0,80+0,80+0,80+0,79+0,81+2,81+2,81+2,80+2,82+2,82+2,82+2,80+2,80+2,82+2,82+2,82+2,80+2,79+2,78+2,78+2,78+2,79+2
M. Ødegaard,21,178,68,Norway,Real Madrid,Spain Primera Division,83,89,36000000,135000,"CAM, CM, RM",Left,3,2,5,Medium/Medium,Lean,No,81000000.0,Dribbler,SUB,21.0,,2015-04-29,2023.0,RM,20.0,78.0,75.0,84.0,85.0,58.0,63.0,"Solid Player, Flair, Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",84,74,52,83,73,86,81,83,81,85,80,77,85,74,83,76,46,80,55,78,64,65,77,87,63,76,,49,51,14,15,15,8,10,74+3,74+3,74+3,81+0,80+0,80+0,80+0,81+0,82+3,82+3,82+3,82+3,80+3,80+3,80+3,82+3,72+3,70+3,70+3,70+3,72+3,69+3,60+3,60+3,60+3,69+3
S. Bergwijn,22,178,78,Netherlands,Tottenham Hotspur,English Premier League,83,88,34500000,105000,"LM, LW, RM",Right,2,2,4,High/Medium,Stocky,Yes,68100000.0,Dribbler,SUB,23.0,,2020-01-29,2025.0,RM,7.0,87.0,79.0,78.0,85.0,39.0,72.0,"Flair, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Technical Dribbler (AI)",78,77,60,84,75,87,78,66,62,85,88,87,79,79,90,84,68,79,78,83,50,34,78,80,68,77,,28,26,11,14,12,14,13,79+2,79+2,79+2,83+0,82+0,82+0,82+0,83+0,82+2,82+2,82+2,82+2,74+2,74+2,74+2,82+2,64+2,60+2,60+2,60+2,64+2,59+2,52+2,52+2,52+2,59+2
A. Hakimi,21,181,73,Morocco,Inter,Italian Serie A,83,88,35000000,92000,RM,Right,1,2,3,High/Medium,Lean,Yes,60400000.0,Speedster,RM,98.0,,2020-09-09,2025.0,,,94.0,70.0,76.0,82.0,72.0,76.0,"Dives Into Tackles (AI), Speed Dribbler (AI)",81,73,63,81,60,84,68,55,72,83,93,95,77,81,74,77,75,86,73,63,72,78,75,74,46,79,,74,76,10,8,14,6,8,77+2,77+2,77+2,81+0,80+0,80+0,80+0,81+0,79+2,79+2,79+2,82+2,78+2,78+2,78+2,82+2,81+2,77+2,77+2,77+2,81+2,79+2,74+2,74+2,74+2,79+2
D. Alli,24,188,80,England,Tottenham Hotspur,English Premier League,83,87,34000000,105000,"CAM, CM",Right,3,3,4,High/High,PLAYER_BODY_TYPE_367,Yes,67200000.0,Engine,SUB,20.0,,2015-02-02,2024.0,,,72.0,80.0,79.0,83.0,71.0,79.0,"Flair, Outside Foot Shot, Technical Dribbler (AI)",68,82,81,83,79,84,75,68,81,85,68,76,75,84,68,78,71,89,73,79,81,72,86,84,76,87,,70,63,7,6,9,11,8,81+3,81+3,81+3,81+0,82+0,82+0,82+0,81+0,83+3,83+3,83+3,81+3,82+3,82+3,82+3,81+3,76+3,78+3,78+3,78+3,76+3,74+3,74+3,74+3,74+3,74+3
D. van de Beek,23,184,74,Netherlands,Manchester United,English Premier League,83,87,33000000,125000,"CM, CAM",Right,3,3,3,High/Medium,PLAYER_BODY_TYPE_251,Yes,65200000.0,NoTag,SUB,34.0,,2020-09-02,2025.0,SUB,6.0,70.0,80.0,78.0,78.0,72.0,80.0,"Flair, Outside Foot Shot",67,79,69,82,80,76,78,65,79,85,67,73,72,85,70,83,71,92,76,80,75,73,84,82,63,85,,74,68,7,12,8,10,14,79+3,79+3,79+3,78+0,80+0,80+0,80+0,78+0,80+3,80+3,80+3,79+3,82+3,82+3,82+3,79+3,76+3,78+3,78+3,78+3,76+3,75+3,74+3,74+3,74+3,75+3
D. Zakaria,23,190,80,Switzerland,Borussia Mönchengladbach,German 1. Bundesliga,83,87,30500000,45000,"CDM, CB, CM",Right,1,3,3,Medium/Medium,Normal,Yes,54100000.0,NoTag,RDM,8.0,,2017-07-01,2022.0,RCM,17.0,83.0,64.0,75.0,77.0,81.0,85.0,Playmaker (AI),68,66,67,83,35,78,64,46,76,80,81,85,68,84,64,74,65,80,87,63,89,81,65,76,38,84,,84,80,12,12,7,13,11,73+2,73+2,73+2,75+0,76+0,76+0,76+0,75+0,76+2,76+2,76+2,77+2,78+2,78+2,78+2,77+2,80+2,82+2,82+2,82+2,80+2,80+2,81+2,81+2,81+2,80+2
M. Kovačić,26,176,80,Croatia,Chelsea,English Premier League,83,86,31500000,120000,"CM, CDM",Right,3,4,4,High/High,Normal,Yes,62200000.0,"Dribbler,Acrobat",SUB,17.0,,2019-07-01,2024.0,,,75.0,69.0,83.0,88.0,69.0,70.0,"Flair, Playmaker (AI), Technical Dribbler (AI)",73,61,42,90,76,88,79,70,82,89,78,73,87,82,84,79,76,79,63,75,77,74,72,84,59,81,,73,66,9,5,6,7,7,72+3,72+3,72+3,80+0,79+0,79+0,79+0,80+0,82+3,82+3,82+3,81+3,83+3,83+3,83+3,81+3,77+3,79+3,79+3,79+3,77+3,74+3,70+3,70+3,70+3,74+3
M. Sabitzer,26,178,76,Austria,RB Leipzig,German 1. Bundesliga,83,85,31000000,73000,"CM, CAM",Right,3,4,3,High/High,Normal,Yes,55000000.0,DistanceShooter,LDM,7.0,,2014-07-01,2022.0,CAM,9.0,80.0,83.0,80.0,80.0,65.0,78.0,"Injury Prone, Long Shot Taker (AI), Outside Foot Shot",74,81,60,83,82,79,75,78,79,82,76,83,75,86,80,88,71,84,76,88,77,64,83,83,65,80,,64,59,11,13,14,15,13,80+3,80+3,80+3,81+0,82+0,82+0,82+0,81+0,82+3,82+3,82+3,81+3,81+3,81+3,81+3,81+3,74+3,75+3,75+3,75+3,74+3,72+3,69+3,69+3,69+3,72+3
Juan Bernat,27,170,67,Spain,Paris Saint-Germain,French Ligue 1,83,84,25500000,95000,"LB, LM",Left,2,3,4,High/Medium,Normal,Yes,49100000.0,NoTag,RES,14.0,,2018-08-31,2021.0,,,81.0,64.0,79.0,83.0,76.0,67.0,Speed Dribbler (AI),85,65,57,82,61,83,78,51,73,83,82,81,85,83,88,64,74,79,57,62,75,79,78,77,53,78,,81,78,8,9,12,11,16,72+2,72+2,72+2,80+0,77+0,77+0,77+0,80+0,79+2,79+2,79+2,80+2,79+2,79+2,79+2,80+2,81+2,78+2,78+2,78+2,81+2,80+2,74+2,74+2,74+2,80+2
N. Fekir,26,173,75,France,Real Betis,Spain Primera Division,83,84,30500000,38000,"CAM, RM, ST",Left,3,4,4,High/Medium,Stocky,Yes,66300000.0,Dribbler,RM,8.0,,2019-07-23,2023.0,SUB,18.0,79.0,82.0,81.0,87.0,38.0,79.0,"Power Free-Kick, Finesse Shot, Flair, Outside Foot Shot, Chip Shot (AI), Technical Dribbler (AI)",79,82,49,84,77,88,83,79,77,87,80,79,81,79,91,84,64,79,81,83,79,34,83,82,74,89,,42,30,15,9,8,14,15,79+3,79+3,79+3,83+0,83+0,83+0,83+0,83+0,83+1,83+1,83+1,83+1,78+3,78+3,78+3,83+1,64+3,63+3,63+3,63+3,64+3,59+3,53+3,53+3,53+3,59+3
João Moutinho,33,170,61,Portugal,Wolverhampton Wanderers,English Premier League,83,83,15000000,110000,CM,Right,3,4,3,High/High,Normal,Yes,28500000.0,Playmaker,LCM,28.0,,2018-07-24,2022.0,SUB,8.0,56.0,75.0,86.0,83.0,72.0,66.0,"Long Passer (AI), Playmaker (AI), Outside Foot Shot",85,73,70,87,76,82,84,81,86,86,60,53,75,79,85,77,71,77,58,79,71,72,74,87,70,89,,74,68,13,15,15,13,13,74+3,74+3,74+3,78+0,78+0,78+0,78+0,78+0,81+2,81+2,81+2,79+3,82+1,82+1,82+1,79+3,76+3,78+3,78+3,78+3,76+3,74+3,71+3,71+3,71+3,74+3
G. Bale,30,185,82,Wales,Tottenham Hotspur,English Premier League,83,83,24500000,130000,RW,Left,4,3,4,Medium/Medium,PLAYER_BODY_TYPE_357,Yes,,"DistanceShooter,Crosser,FKSpecialist",SUB,9.0,Real Madrid,,2021.0,RM,11.0,88.0,84.0,82.0,80.0,58.0,73.0,"Long Throw-in, Injury Prone, Long Shot Taker (AI), Speed Dribbler (AI), Outside Foot Shot, Chip Shot (AI)",87,81,84,80,85,80,90,87,79,83,86,89,78,79,65,90,82,69,77,87,65,59,83,79,76,85,,55,52,15,15,11,5,6,83+0,83+0,83+0,82+0,82+0,82+0,82+0,82+0,81+2,81+2,81+2,82+1,78+3,78+3,78+3,82+1,71+3,69+3,69+3,69+3,71+3,70+3,66+3,66+3,66+3,70+3
R. Nainggolan,32,176,65,Belgium,Inter,Italian Serie A,83,83,20000000,125000,"CAM, CM, CF",Right,3,3,3,High/High,PLAYER_BODY_TYPE_282,Yes,33000000.0,"Engine,DistanceShooter,Tackling,Tactician",RES,44.0,,2018-07-01,2022.0,,,71.0,80.0,80.0,83.0,83.0,81.0,"Long Shot Taker (AI), Outside Foot Shot",73,75,59,85,75,83,73,68,82,84,71,71,75,85,83,86,74,89,75,89,88,86,84,80,63,84,,86,90,11,11,14,8,11,78+3,78+3,78+3,80+0,81+0,81+0,81+0,80+0,82+1,82+1,82+1,81+2,84+,84+,84+,81+2,83+0,85+,85+,85+,83+0,82+1,81+2,81+2,81+2,82+1
